Permit,Short Description,Info Link Title,Info Link,Information ,Business Type(s),Tag(s),Issuing Department(s),Agency Type,Cost Amount,Cost Link Title,Cost Link,Access Online Name,Access Online Link,Form Name 1,Form Link 1,Form Name 2,Form Link 2,Form Name 3,Form Link 3,Form Name 4,Form Link 4,Form Name 5,Form Link 5,Form Name 6,Form Link 6,Form Name 7,Form Link 7,Form Name 8,Form Link 8,Form Name 9,Form Link 9,Form Name 10,Form Link 10,Form Name 11,Form Link 11,Form Name 12,Form Link 12,Form Name 13,Form Link 13,Form Name 14,Form Link 14,Form Name 15,Form Link 15,Form Name 16,Form Link 16
Interstate Operating Permit 1 (OP-1) (P) - Motor Passenger Carrier Authority,"Allows you to transport, or arrange for the transportation of, passengers or property for compensation.","Instructions for Completing Form OP-1(P) Application for Motor Passenger Carrier Authority 

",https://cms.fmcsa.dot.gov/sites/fmcsa.dot.gov/files/docs/OP-1%28P%29%20Instructions%203-17-2014%20508.pdf,"All authorized for-hire Motor Carriers of non-exempt property and passengers, Brokers, and Freight Forwarders based in the U.S. or Canada must obtain Operating Authority from the FMCSA.

Note!
-A motor carrier transports passengers or property for compensation.
-A broker is a person or an entity which arranges for the transportation of property by a motor carrier for compensation. A broker does not transport the property and does not assume responsibility for the property",,,Department of Transportation,Federal,FIling Fee: $300,,,,,Form Op-1(FF) Application for Motor Passenger Carrier Authority,https://cms.fmcsa.dot.gov/sites/fmcsa.dot.gov/files/docs/OP-1%28P%29-form.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interstate Operating Permit 1 (OP-1) (FF) - Freight Forwarder Authority,Allows you to arrange transportation of goods by FMCSA-licensed carriers. Freight forwarders issue bills of lading to shippers and are responsible for the loss of or damage to the goods.,"Instructions for Completing Form OP-1(FF) Application for Freight Forwarder Authority

",http://www.fmcsa.dot.gov/sites/fmcsa.dot.gov/files/docs/OP-1(FF)%20Instructions.pdf,"This application is for businesses requesting Operating Authority as a freight forwarder in interstate or foreign commerce. 

Note!
A freight forwarder is a person or entity which holds itself out to the general public to provide transportation of property for compensation and in the ordinary course of its business:
-Assembles and consolidates, or provides for assembling and consolidating, shipments and performs break-bulk and distribution operations of the shipments
-Assumes responsibility for the transportation from the place of receipt to the place of destination
-Uses for any part of the transportation a rail, motor or water carrier subject to the jurisdiction of either FMCSA or the Surface Transportation Board",,,Department of Transportation,Federal,Filing Fee: $300,,,,,Form Op-1(FF) Application for Freight Forwarder Authority,https://cms.fmcsa.dot.gov/sites/fmcsa.dot.gov/files/docs/op-1-ff-final.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FINRA Broker-Dealer Registration for Investment Advisors,"Any person or firm who is engaged in the securities business —including partners, officers, directors, branch managers, department supervisors, and salespersons—must register with FINRA.",How to Become a Member - Introduction Page,http://www.finra.org/Industry/Compliance/Registration/MemberApplicationProgram/HowtoBecomeaMember/index.htm,"Submitting a Financial Industry Regulatory Authority (FINRA) membership application is a serious undertaking and should be considered carefully. You may wish to consider alternatives to applying for membership depending on your desired goals. For instance, working for an existing member firm or managing the branch office of a firm might achieve your objectives without going through this application process.
 
If you decide to file an application, you must fully understand all of the substantive and procedural requirements. Moreover, you must be in a position to provide, in a timely manner, information that addresses how you will satisfy the Standards for Admission and other applicable statutory and regulatory requirements. The first step is to read the NASD Rule 1010 Series, this section of the web site in detail, and the applicable FINRA and SEC rules and regulations in detail.
",Financial Advisor,,Financial Industry Regulatory Authority,Federal,,SRO/Jurisdiction Fee and Setting Schedule,http://www.finra.org/web/groups/industry/@ip/@comp/@regis/documents/appsupportdocs/p005213.pdf,,,Notarized Form BD,http://www.sec.gov/about/forms/formbd.pdf,Super Account Administrator Entitlement Form ,http://www.finra.org/web/groups/industry/@ip/@comp/documents/industry/p121110.pdf,Member Firm Email Notification Contact Form,http://www.finra.org/web/groups/industry/@ip/@reg/@notice/documents/notices/p038198.pdf,New Member Assessment Report,http://www.finra.org/web/groups/industry/@ip/@comp/@regis/documents/industry/p009842.pdf,,,,,,,,,,,,,,,,,,,,,,,,
Canning Facility License,"Commercial processors that manufacture, process, or pack acidified foods (AF) and/or thermally processed low-acid foods packaged in hermetically sealed containers (historically referred to as “low-acid canned foods” or “LACF”)",Guidance for Industry: Submitting Form FDA 2541 (Food Canning Establishment Registration),http://www.fda.gov/Food/GuidanceRegulation/GuidanceDocumentsRegulatoryInformation/ucm309376.htm#background,,Food Manufacturing,,Food and Drug Administration,Federal,,,,Food Canning Establishment Registrration,http://www.fda.gov/downloads/AboutFDA/ReportsManualsForms/Forms/UCM076778.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food Facility Registration,,FDA Registration of Food Facilities Sitepage,http://www.fda.gov/Food/GuidanceRegulation/FoodFacilityRegistration/default.htm,,,,Food and Drug Administration,Federal,,,,FDA Industry Systems Login,https://www.access.fda.gov/oaa/logonFlow.htm;jsessionid=xs2qT7kQWywJmDrGFpQQDHWJQ1CbdCJQ8RCHBgcTJnS541y3TXht!-744374086?execution=e1s1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Employer Identification Number (FEIN),"An FEIN is also known as an Employer Identification Number (EIN) or Federal Tax Identification Number. It is issued by the Internal Revenue Service (IRS). A business needs an FEIN to pay employees and to file business tax returns. An FEIN does not expire and is unique to your business - once an FEIN has been given to an entity, it will never be issued again.",IRS Employer Identification Online Application Information,http://www.irs.gov/Businesses/Small-Businesses-&-Self-Employed/Apply-for-an-Employer-Identification-Number-(EIN)-Online,"The FEIN is used to identify your business and allows you to hire employees. You must apply for a FEIN unless you are a sole proprietor with no employees.
",Auto Body & Paint Shop*Auto Dealer*Auto Detailing*Auto/Motorcycle Mechanic*Brake & Tire Shop*Smog Check Facility*Towing Company*Parking Lots & Garages*Auto Wrecker*Child Care Services*Adult Day Care*Assisted Living Facility*Elder Care Services*Home Health Agency*General Building Contractor*General Engineering Contractor*Specialty Contractor*Nightclub*Bowling Alley*Bar*Alcohol/Beer & Wine Distributor*Alcohol/Beer & Wine Importer*Alcohol/Beer & Wine Wholesaler*Bakery*Cafe or Deli*Candy Store*Caterer*Chocolatier*Corner Store*Farmer's Market Booth*Food Manufacturing*Grocery Market*Ice Cream Shop*Mobile Food Truck*Winery*Vending Machines*Restaurant*Dentist Office*Doctor's Office*Health Clinic*Medical Device Sales*Medical Marijuana Dispensary*Medical Transport*Pharmacy*Skilled Nursing Facility*Food Manufacturing*Animal Food Manufacturing*Clothing & Apparel Manufacturing*Jewelry Manufacturing*Cleaning Business*Dog Walking*Laundry/Dry Cleaning*Gym & Yoga Studio*Hair/Nail Salon*Personal Trainer*Tattoo & Piercing Parlor*Massage Establishment*Pet Sitting*Dog Kennel*Dog Walking*Pet Hospital*Pet Shop*Security Services*Recycling Business*Junk Dealer/Junkyard*Accounting Service*Appliance Repair & Service*Electronics & Computer Repair*Educational Consulting*Employment/Staffing Agency*Event & Wedding Planning*Financial Advisor*Graphic/Web Design*Law Firm*Modeling/Talent Agency*Payroll Services*Software Developer*Advertising Agency*Architectural Consultant*Art Consultant*Business Consultant*Engineering Consultant*IT Consultant*Marketing Consultant*Broker Dealer *Insurance Agency/Broker*Escrow Agency*Home Inspection*Real Estate Agency*Residential Leasing*Photography*Landlord*Online Retailer*Antique Shop*Art Gallery*Book Store*Bicycle Shop*Clothing Store*Electronic Sales*Florist*Furniture Store*Jeweler*Print & Photocopy Shop*General Retail*Street Artist*Pawn Shop*Tobacco Sales*Commercial Transportation/Trucking*Hazardous Materials Transportation*Shipping*Pedicab*Import/Export*Airport Passenger Transportation*Limousine Services*Taxi Company*Valet Parking*Vehicle Rental*Travel Company*Tour Company*Bed & Breakfast*Hotel,,Internal Revenue Service,Federal,,,,EIN Assistant Application Page,https://sa.www4.irs.gov/modiein/individual/index.jsp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joint Commission Accreditation,"The Joint Commission accredits many types of health care organizations, including hospitals, doctor’s offices, nursing homes, office-based surgery centers, behavioral health treatment facilities, and providers of home care services.",Learn more about Accreditation and Certification from the Joint Commission,http://www.jointcommission.org/accreditation/accreditation_main.aspx,,,,Joint Commission,Federal,,,,Online Application Survey,https://www.surveymonkey.com/s/XF2DNWB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investment Adviser Registration Depository (IARD) Registration for Investment Advisers,IARD allows federally regulated Investment Advisers to satisfy the SEC mandate for electronic filing and related public disclosure. ,Step-by-Step instructions for registering with the SEC as an Investment Advisor,http://www.sec.gov/divisions/investment/iard/register.shtml,"The IARD system collects and maintains the registration, reporting and disclosure information for Investment Advisers and their associated persons. The IARD system supports electronic filing of the revised Forms ADV and ADV-W, centralized fee and form processing, regulatory review, the annual registration renewal process, and public disclosure of Investment Adviser information.",Financial Advisor,,Securities and Exchange Commission,Federal,,,,Electronic Filing for Investment Advisers on IARD: Setting Up Your IARD Account,http://www.sec.gov/divisions/investment/iard/setup.shtml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Provider Number Application (NPI),"Gives you a standard unique identifier, required for all health care providers and health plans. ",National Plan & Provider Enumeration System,https://nppes.cms.hhs.gov/NPPES/StaticForward.do?forward=static.npistart,,,,US Department of Health,Federal,,,,NPI Online Application,https://nppes.cms.hhs.gov/NPPES/StaticForward.do?forward=static.npistart,National Provider Identifier (NPI) Application/Update Form,http://www.cms.gov/Medicare/CMS-Forms/CMS-Forms/downloads/CMS10114.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Application for Federal Inspection (Meat, Poultry, Egg Product, and Catfish)","A Federal Grant of Inspection enables you to sell your product in interstate commerce for resale.

",Learn more from the USDA,http://www.fsis.usda.gov/wps/portal/fsis/topics/inspection/apply-for-a-federal-grant-of-inspection,"Application to be included in the Federal USDA inspection program for food processing/manufacturing establishments that handle meat, eggs, and/or catfish and are located in states that do not have meat, poultry, or egg inspection programs. 

In order to obtain a Grant of Inspection from USDA-FSIS, for a meat or poultry 
establishment you need at a minimum the following three items. For an egg products 
plant, you would need to comply with item number three.
1. A HACCP Plan. HACCP is an acronym for hazard analysis critical control 
point. Such a food safety “process control program” must be developed by 
someone formally trained in HACCP.
2. A Sanitation Standard Operating Procedure (Sanitation SOP). 
3. A suitable facility where the walls, floors, and ceilings are cleanable,
impervious to moisture, insects, vermin and meet other sanitary requirements. 
You may obtain an application, and paper as well as electronic copies of all these 
documents by contacting the appropriate District Office (DO). Your DO can put you in 
contact with a Frontline Supervisor assigned to your area who can also answer your 
questions. Once you have the met the basic requirements and submitted your 
application to the appropriate DO with the required information, the approval process 
takes 4-6 weeks on average. FSIS will provide mandatory inspection service at no 
charge up to 40 hrs per week and voluntary inspection as arranged at a nominal rate. 
You will be responsible for voluntary or overtime charges at approximately $50-70/ hr. 


",,Adult Day Care*Assisted Living Facility*Elder Care Services*Home Health Agency*Bowling Alley*Bar*Bakery*Cafe or Deli*Candy Store*Caterer*Chocolatier*Corner Store*Farmer’s Market Booth*Food Manufacturing*Grocery Market*Ice Cream Shop*Mobile Food Truck*Winery/Brewery*Restaurant*Skilled Nursing Facility*Animal Food Manufacturing*Bed & Breakfast*Hotels,US Department of Agriculture,Federal,,,,,,"Application for Federal Inspection (Meat, Poultry, Egg Product, and Catfish)",http://www.ncagr.gov/MeatPoultry/pdf/FSIS-5200-2.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Approval of Labels, Marking or Device","Meat, Poultry, and Egg Product establishments are responsible for accurately labeling their product for human consumption. All labels must be approved by the FSIS Labeling and Program Delivery Division.",USDA Label Approval Information,http://www.fsis.usda.gov/wps/portal/fsis/topics/regulatory-compliance/labeling,"Apply Online or  through Paper Submission 

For paper submission, instructions are provided on page 5 of the form. For additional guidance concerning label submissions, please refer to Label Application Guidance which is located at: http://www.fsis.usda.gov/wps/portal/fsis/topics/regulatory-compliance/labeling/labeling-procedures.
",,,US Department of Agriculture,Federal,,,,USDA eAuthentication Login,https://pws.sc.egov.usda.gov/login/login.aspx?TYPE=33554433&REALMOID=06-0f5c11dc-52cc-4a51-8633-d63bce4dc30c&GUID=&SMAUTHREASON=0&METHOD=GET&SMAGENTNAME=-SM-NrdBoUzy3ZVe%2fSHYjynLWX0pA%2fQEeNiJowB%2byTo2%2b6luypoFsKuSVJImGEqTmLJG&TARGET=-SM-http%3a%2f%2flsas%2efsis%2eusda%2egov%2flsas,"Application for Approval of Labels, Marking or Device",http://www.fsis.usda.gov/wps/wcm/connect/4aeeca8c-8ba6-4288-a222-e6ca8764a9f7/FSIS_7234-1_Approval_of_Labels.pdf?MOD=AJPERES,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Registration of Shell Egg Handler,"Registration required for firms with over 3,000 egg-layers that grade and pack their own eggs, or for firms that grade and pack eggs from production sources other than their own.",USDA Egg Shell Information Webpage,http://www.ams.usda.gov/AMSv1.0/ams.fetchTemplateData.do?template=TemplateN&navID=FairTradingRegulations&leftNav=FairTradingRegulations&page=PYShellEggSurveillance,"Shell egg handlers include firms with over 3,000 layers that grade and pack their own eggs, firms that grade and pack eggs from production sources other than their own (grading station), and firms that are hatcheries. They are required to register with USDA by completing and submitting a Registration of Shell Egg Handlers Form, (PY-155). 

At least 4 times each year, a State or Federal shell egg surveillance inspector visits each registered packing plant to verify that shell eggs packed for consumer use are in compliance, that restricted eggs are being disposed of properly, and that adequate records are being maintained. Hatcheries are visited at least once annually for the same purposes.",,,US Department of Agriculture,Federal,,,,,,USDA Registration of Egg Shell Handler,http://www.ams.usda.gov/AMSv1.0/getfile?dDocName=STELDEV3004640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Form OP-1 Application for Motor Property Carrier and Broker Authority,Allows vehicles carrying household goods for third-parties to charge for freight or transportation costs.,Instruction PDF available through the link,https://cms.fmcsa.dot.gov/sites/fmcsa.dot.gov/files/docs/op-1-instructions.pdf,,,Commercial Transportation/Trucking*Shipping*Import/Export,US Department of Transportation,Federal,$300 for each type of operating authority,,,,,Form OP-1 Application for Motor Property Carrier and Broker Authority,https://cms.fmcsa.dot.gov/sites/fmcsa.dot.gov/files/docs/op-1.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Seller’s Permit,Permit required in order to sell or lease tangible personal property in the State of California.,"Please create an online account through the link below. This allows you to access information, register, and apply payment. 
",http://www.boe.ca.gov/elecsrv/esrvcont.htm,,Auto Body & Paint Shop*Auto Dealer*Auto Detailing*Auto/Motorcycle Mechanic*Brake & Tire Shop*Smog Check Facility*Auto Wrecker*Nightclub*Bowling Alley*Bar*Alcohol/Beer & Wine Distributor*Alcohol/Beer & Wine Importer*Bakery*Cafe or Deli*Candy Store*Caterer*Chocolatier*Corner Store*Farmer’s Market Booth*Food Manufacturing*Grocery Market*Ice Cream Shop*Mobile Food Truck*Winery/Brewery*Vending Machines*Restaurant*Medical Device Sales*Medical Marijuana Dispensary*Pharmacy*Animal Food Manufacturing*Clothing & Apparel Manufacturing*Jewelry Manufacturing*Hair/Nail Salon*Tattoo & Piercing Parlor*Massage Establishment*Pet Shop*Junk Dealer/Junkyard*Appliance Repair & Service*Electronics & Computer Repair*Photography*Online Retailer*Antique Shop*Art Gallery*Book Store*Bicycle Shop*Clothing Store*Electronic Sales*Florist*Furniture Store*Jeweler*Print & Photocopy Shop*General Retail*Street Artist*Pawn Shop*Tobacco Sales*Import/Export*Bed & Breakfast*Hotel,,CA Board of Equalization,State,,"Please create an online account through the link below. This allows you to access information, register, and apply payment. ",http://www.boe.ca.gov/elecsrv/esrvcont.htm,,,Link to Login for Permit,http://www.boe.ca.gov/elecsrv/esrvcont.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tobacco Retail Sales Permit,"If you sell cigarettes and tobacco products at retail, you must have a California Cigarette and Tobacco Products Retailer's License before purchasing or selling cigarettes or tobacco products. You must obtain this license in addition to your seller's permit.",California State Board of Equalization Sitepage,http://www.boe.ca.gov/sptaxprog/spctretailers.htm,,Tobacco Sales,,CA Board of Equalization,State,,BOE Fee Page,http://www.boe.ca.gov/sptaxprog/tax_rates_stfd.htm#4,BOE Registration Main Menu,https://efile.boe.ca.gov/ereg/index.boe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Application for Approval to Operate an Accredited Institution,A person operating an institution that is accredited by an accrediting agency recognized by the United States Department of Education has the option to obtain an approval to operate from the Bureau for Private Postsecondary Education (Bureau) by means of the institution's accreditation.,Bureau for Private Postsecondary Education Webpage,http://www.bppe.ca.gov/schools/accredited_institutions.shtml,,,,CA Bureau for Private Postsecondary Education,State,$750 (Non-Refundable Application Fee),,,,,Application for Approval to Operate an Accredited Institution,http://www.bppe.ca.gov/forms_pubs/approval_accredited.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Application for Approval to Operate for an Institution Non Accredited,A person operating an institution that is accredited by an accrediting agency recognized by the United States Department of Education has the option to obtain an approval to operate from the Bureau for Private Postsecondary Education (Bureau) by means of the institution's accreditation.,Bureau for Private Postsecondary Education Webpage,http://www.bppe.ca.gov/schools/accredited_institutions.shtml,,,,CA Bureau for Private Postsecondary Education,State,"$5,000 (Non-Refundable Application Fee)",,,,,Application for Approval to Operate an Institution Non Accredited,http://www.bppe.ca.gov/forms_pubs/approval_nonaccredited.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcohol License - Beer & Wine Only,Allows an establishment to sell beer and wine. Does not include hard liquor.,"This is a very complex process, with multiple factors. Please visit the ABC website or call their office for instructions specific to your establishment.",http://www.abc.ca.gov/,,Bar*Alcohol/Beer & Wine Distributor*Alcohol/Beer & Wine Importer*Alcohol/Beer & Wine Wholesaler*Bakery*Cafe or Deli*Corner Store*Restaurant*Winery/Brewery*Nightclub*Bowling Alley*Grocery Market ,,CA Department of Alcohol Beverage Control,State,,Please contact Alcoholic Beverage Control (ABC) for all applicable fees.,,,,"Statement of Citizenship, Alienage, and Immigration Status for State Public Benefits",http://www.abc.ca.gov/FORMS/ABC069.pdf,Alien Verification Acknowledgement,http://www.abc.ca.gov/FORMS/ABC069A.pdf,Certification Re Chapter 15 Tied-House Restrictions,http://www.abc.ca.gov/FORMS/ABC140.pdf,Declaration of Service by Mail,http://www.abc.ca.gov/FORMS/ABC207F.pdf,"Application Signature Sheet (Sign ON)
",http://www.abc.ca.gov/FORMS/ABC211SIG.pdf,Corporate Questionnaire,http://www.abc.ca.gov/FORMS/ABC243.pdf,Statement Re: Residences,http://www.abc.ca.gov/FORMS/ABC247.pdf,Statement Re: Consideration Points,http://www.abc.ca.gov/FORMS/ABC251.pdf,Licensed Premises Diagram (Retail),http://www.abc.ca.gov/FORMS/ABC257.pdf,Limited Liability Company Questionnaire,http://www.abc.ca.gov/FORMS/ABC256LLC.pdf,Planned Operation (Retail),http://www.abc.ca.gov/FORMS/ABC257_REV.pdf,Individual Personal Affidavit,http://www.abc.ca.gov/FORMS/ABC208B.pdf,Individual Financial Affidavit,http://www.abc.ca.gov/FORMS/ABC208B.pdf,Application Questionnaire,http://www.abc.ca.gov/FORMS/ABC217.pdf,Zoning Affidavit,http://www.abc.ca.gov/FORMS/ABC255.pdf,,
Alcohol License - Beer and Wine Wholesaler,,,,,,,CA Department of Alcoholic Beverage Control,State,,,,,,Department of Alcoholic Beverage Control - Planned Operation (Non-Retail),https://www.abc.ca.gov/FORMS/ABC257NR_REVERSE.pdf,Department of Alcoholic Beverage Control - Licensed Premesis Diagram (Non-Retail),http://www.abc.ca.gov/FORMS/ABC257NR.pdf,Department of Alcoholic Beverage Control - Limited Liability Company Questionnaire,http://www.abc.ca.gov/FORMS/ABC256LLC.pdf,Department of Alcoholic Beverage Control - Limited Partnership Questionnaire,http://www.abc.ca.gov/FORMS/ABC256.pdf,Department of Alcoholic Beverage Control - Corporate Questionnaire,http://www.abc.ca.gov/FORMS/ABC243.pdf,,,,,,,,,,,,,,,,,,,,,,
Alcohol License - Brandy Wholesaler,,,,,,,CA Department of Alcoholic Beverage Control,State,,,,,,Department of Alcoholic Beverage Control - Planned Operation (Non-Retail),https://www.abc.ca.gov/FORMS/ABC257NR_REVERSE.pdf,Department of Alcoholic Beverage Control - Licensed Premesis Diagram (Non-Retail),http://www.abc.ca.gov/FORMS/ABC257NR.pdf,Department of Alcoholic Beverage Control - Limited Liability Company Questionnaire,http://www.abc.ca.gov/FORMS/ABC256LLC.pdf,Department of Alcoholic Beverage Control - Limited Partnership Questionnaire,http://www.abc.ca.gov/FORMS/ABC256.pdf,Department of Alcoholic Beverage Control - Corporate Questionnaire,http://www.abc.ca.gov/FORMS/ABC243.pdf,,,,,,,,,,,,,,,,,,,,,,
Alcohol License - Customs Broker,,,,,,,CA Department of Alcoholic Beverage Control,State,,,,,,Department of Alcoholic Beverage Control - Planned Operation (Non-Retail),https://www.abc.ca.gov/FORMS/ABC257NR_REVERSE.pdf,Department of Alcoholic Beverage Control - Licensed Premesis Diagram (Non-Retail),http://www.abc.ca.gov/FORMS/ABC257NR.pdf,Department of Alcoholic Beverage Control - Limited Liability Company Questionnaire,http://www.abc.ca.gov/FORMS/ABC256LLC.pdf,Department of Alcoholic Beverage Control - Limited Partnership Questionnaire,http://www.abc.ca.gov/FORMS/ABC256.pdf,Department of Alcoholic Beverage Control - Corporate Questionnaire,http://www.abc.ca.gov/FORMS/ABC243.pdf,,,,,,,,,,,,,,,,,,,,,,
Alcohol License - Distilled Spirits Importer,,,,,,,CA Department of Alcoholic Beverage Control,State,,,,,,Department of Alcoholic Beverage Control - Planned Operation (Non-Retail),https://www.abc.ca.gov/FORMS/ABC257NR_REVERSE.pdf,Department of Alcoholic Beverage Control - Licensed Premesis Diagram (Non-Retail),http://www.abc.ca.gov/FORMS/ABC257NR.pdf,Department of Alcoholic Beverage Control - Limited Liability Company Questionnaire,http://www.abc.ca.gov/FORMS/ABC256LLC.pdf,Department of Alcoholic Beverage Control - Limited Partnership Questionnaire,http://www.abc.ca.gov/FORMS/ABC256.pdf,Department of Alcoholic Beverage Control - Corporate Questionnaire,http://www.abc.ca.gov/FORMS/ABC243.pdf,,,,,,,,,,,,,,,,,,,,,,
Alcohol License - Distilled Spirits Manufacturer Agent,,,,,,,CA Department of Alcoholic Beverage Control,State,,,,,,Department of Alcoholic Beverage Control - Planned Operation (Non-Retail),https://www.abc.ca.gov/FORMS/ABC257NR_REVERSE.pdf,Department of Alcoholic Beverage Control - Licensed Premesis Diagram (Non-Retail),http://www.abc.ca.gov/FORMS/ABC257NR.pdf,Department of Alcoholic Beverage Control - Limited Liability Company Questionnaire,http://www.abc.ca.gov/FORMS/ABC256LLC.pdf,Department of Alcoholic Beverage Control - Limited Partnership Questionnaire,http://www.abc.ca.gov/FORMS/ABC256.pdf,Department of Alcoholic Beverage Control - Corporate Questionnaire,http://www.abc.ca.gov/FORMS/ABC243.pdf,Department of Alcoholic Beverage Control - Application Signature Sheet (Sign On),http://www.abc.ca.gov/FORMS/ABC211SIG.pdf,Department of Alcoholic Beverage Control - Application Questionnaire,http://www.abc.ca.gov/FORMS/ABC217.pdf,Department of Alcoholic Beverage Control - Individual Personal Affidavit,http://www.abc.ca.gov/FORMS/ABC208A.pdf,Department of Alcoholic Beverage Control - Individual Financial Affidavit,http://www.abc.ca.gov/FORMS/ABC208B.pdf,,,,,,,,,,,,,,
Alcohol License - Distilled Spirits Wholesaler,,,,,,,CA Department of Alcoholic Beverage Control,State,,,,,,Department of Alcoholic Beverage Control - Planned Operation (Non-Retail),https://www.abc.ca.gov/FORMS/ABC257NR_REVERSE.pdf,Department of Alcoholic Beverage Control - Licensed Premesis Diagram (Non-Retail),http://www.abc.ca.gov/FORMS/ABC257NR.pdf,Department of Alcoholic Beverage Control - Limited Liability Company Questionnaire,http://www.abc.ca.gov/FORMS/ABC256LLC.pdf,Department of Alcoholic Beverage Control - Limited Partnership Questionnaire,http://www.abc.ca.gov/FORMS/ABC256.pdf,Department of Alcoholic Beverage Control - Corporate Questionnaire,http://www.abc.ca.gov/FORMS/ABC243.pdf,,,,,,,,,,,,,,,,,,,,,,
Alcohol License - Off Sale,"Authorizes the sale of beer, wine and distilled spirits for 
consumption off the premises where sold. These are often referred to as a ""package store"". ",,,,,,CA Department of Alcoholic Beverage Control,State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcohol License - Wine Broker,,,,,,,CA Department of Alcoholic Beverage Control,State,,,,,,Department of Alcoholic Beverage Control - Planned Operation (Non-Retail),https://www.abc.ca.gov/FORMS/ABC257NR_REVERSE.pdf,Department of Alcoholic Beverage Control - Licensed Premesis Diagram (Non-Retail),http://www.abc.ca.gov/FORMS/ABC257NR.pdf,Department of Alcoholic Beverage Control - Limited Liability Company Questionnaire,http://www.abc.ca.gov/FORMS/ABC256LLC.pdf,Department of Alcoholic Beverage Control - Limited Partnership Questionnaire,http://www.abc.ca.gov/FORMS/ABC256.pdf,Department of Alcoholic Beverage Control - Corporate Questionnaire,http://www.abc.ca.gov/FORMS/ABC243.pdf,,,,,,,,,,,,,,,,,,,,,,
Alcohol License - Winegrower,Authorizes the sale of wine and brandy to consumers for consumption off the premises where sold. Authorizes the sale of all wines and brandies to consumers for consumption on the premises in an eating place.,,,,,,CA Department of Alcoholic Beverage Control,State,,,,,,Department of Alcoholic Beverage Control - Application Signature Sheet (Sign On),http://www.abc.ca.gov/FORMS/ABC211SIG.pdf,Department of Alcoholic Beverage Control - Application Questionnaire,http://www.abc.ca.gov/FORMS/ABC217.pdf,Department of Alcoholic Beverage Control - Supplemental Diagram,http://www.abc.ca.gov/FORMS/ABC253.pdf,Department of Alcoholic Beverage Control - Individual Personal Affidavit,http://www.abc.ca.gov/FORMS/ABC208A.pdf,Department of Alcoholic Beverage Control - Individual Financial Affidavit,http://www.abc.ca.gov/FORMS/ABC208B.pdf,Department of Alcoholic Beverage Control - Zoning Affidavit,http://www.abc.ca.gov/FORMS/ABC255.pdf,Department of Alcoholic Beverage Control - Licensed Premesis Diagram (Retail),http://www.abc.ca.gov/FORMS/ABC257.pdf,Department of Alcoholic Beverage Control - Statement Re: Residences,http://www.abc.ca.gov/FORMS/ABC247.pdf,Department of Alcoholic Beverage Control - Statement Re: Consideration Points,http://www.abc.ca.gov/FORMS/ABC251.pdf,,,,,,,,,,,,,,
California Broker-Dealer Registration," Authorizes you to be a broker-dealer in the financial industry, at the state level.",Instructions for Completing and Filing Application for Broker-Dealer Certificate on Form BD,http://www.dbo.ca.gov/Licensees/Broker-Dealer_and_SEC_Investment_Advisers/260-211.asp,"Any person who intends to become a broker-dealer in California may apply for a broker-dealer certificate by filing an application. If you are a member of the Financial Industry Regulatory Authority (""FINRA""), the application should be filed directly with the Central Registration Depository (""CRD""). If you are not a member of FINRA , the application should be filed directly with the Department of Business Oversight.",,,CA Department of Business Oversight,State,,,,,,Customer Authorization of Disclosure of Financial Records,http://www.dbo.ca.gov/forms/Business_Oversight/DBO_QR_500.261.pdf,Form BD - Uniform Application for Broker-Dealer Registration,https://www.sec.gov/about/forms/formbd.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
